[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for decmul
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for decmul
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function decmul
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for decdiv
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for decdiv
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function decdiv
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for updateAndQuery
[WARNING] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | No lvalue eligible assignment, is this some bug!
[WARNING] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Range graph generated
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function updateAndQuery
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Value Range Analysis took 0.007916 seconds
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Value Range Analysis finished
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Dependency detection started!
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Dependency detection finished!
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Static Analysis took 0.791406 seconds
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Dependency does not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Symbolic execution is not needed!
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Analysis finished!
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Analysis took 0.791549 seconds
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Analysis finished at: 2023-07-06 05:55:53 AM
