[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for maxIssuableSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for maxIssuableSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function maxIssuableSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for minimumStakeTime
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for minimumStakeTime
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function minimumStakeTime
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for remainingIssuableSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for remainingIssuableSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function remainingIssuableSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for synths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for synths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function synths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for getSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for getSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function getSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for synthsByAddress
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for synthsByAddress
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function synthsByAddress
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for totalIssuedSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for totalIssuedSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function totalIssuedSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for transferableSynthetixAndAnyRateIsInvalid
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for transferableSynthetixAndAnyRateIsInvalid
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function transferableSynthetixAndAnyRateIsInvalid
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for addSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for addSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function addSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for issueSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for issueSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function issueSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for issueSynthsOnBehalf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for issueSynthsOnBehalf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function issueSynthsOnBehalf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for issueMaxSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for issueMaxSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function issueMaxSynths
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Generating return summary for issueMaxSynthsOnBehalf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Return summary generated for issueMaxSynthsOnBehalf
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | State variable assignement do not exist
[INFO] | 2023-07-06 05:46:56 AM | analyzer.AddressResolver_26 | Processed function issueMaxSynthsOnBehalf
