[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for tokensRemaining
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function tokensRemaining
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for maxSellCap
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for maxSellCap
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function maxSellCap
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for startRate
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for startRate
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function startRate
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for endRate
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for endRate
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function endRate
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for tokensSold
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for tokensSold
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function tokensSold
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for globalMinPurchaseAmt
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for globalMinPurchaseAmt
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
