[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function canTransfer
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for balanceOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for balanceOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function balanceOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for ownerOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for ownerOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function ownerOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for exists
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for exists
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function exists
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for approve
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for approve
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function approve
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for getApproved
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for getApproved
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function getApproved
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for setApprovalForAll
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for setApprovalForAll
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function setApprovalForAll
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for isApprovedForAll
